Organization Name,Partner Type,County,City,Industry Sector,Entrepreneur Demographic Group,Business Stage,Reporting Month,Businesses Supported,New Businesses Started,Jobs Created,Jobs Retained,Capital Raised,Grants Awarded,Loans Facilitated,Referrals Made,Programs Delivered,Entrepreneurs Served,Mentor Hours,Data Completeness Score,Data Source,Last Updated Date
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Professional Services,Women-Owned,Early Growth,2025-01,29,4,12,11,254521,37997,42855,23,2,49,168,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Food & Beverage,Women-Owned,Startup,2025-01,13,1,4,4,75907,16012,19129,9,1,24,47,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Technology,Women-Owned,Scaling,2025-01,27,3,14,15,354761,76057,68254,14,3,44,165,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Construction,Women-Owned,Early Growth,2025-01,11,1,10,11,90002,19688,17900,6,1,20,42,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Manufacturing,Women-Owned,Idea,2025-01,24,4,14,14,203559,33410,78740,19,5,35,137,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Retail,Immigrant-Founded,Startup,2025-01,51,9,31,39,2057322,252592,598603,30,2,82,290,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Creative / Media,Women-Owned,Scaling,2025-01,26,3,16,23,281514,35987,63540,10,3,34,118,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Food & Beverage,Rural,Established,2025-01,22,3,11,13,309773,53251,115816,16,3,28,80,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Creative / Media,Youth (Under 30),Idea,2025-01,32,3,16,20,199583,51741,35223,22,2,46,180,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Manufacturing,Minority-Owned,Scaling,2025-01,25,3,8,9,359448,70651,80465,18,3,36,67,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Manufacturing,Women-Owned,Startup,2025-01,17,2,11,9,87149,21103,13564,11,2,23,38,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Professional Services,Rural,Startup,2025-01,46,7,21,23,1230005,284698,306142,30,3,69,212,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Retail,Veteran-Owned,Established,2025-01,16,3,19,16,198236,37964,42737,9,3,28,55,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Logistics,Immigrant-Founded,Early Growth,2025-01,10,1,5,6,89158,10427,16359,8,4,15,33,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Manufacturing,Minority-Owned,Idea,2025-02,65,9,29,32,824587,247359,238081,34,2,96,310,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Logistics,Minority-Owned,Startup,2025-02,33,4,15,13,318390,75439,80841,32,3,59,163,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Logistics,Immigrant-Founded,Idea,2025-02,9,0,1,1,0,0,0,8,2,15,51,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Food & Beverage,Other,Early Growth,2025-02,27,4,12,13,439939,46829,94896,19,2,37,78,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Manufacturing,Veteran-Owned,Idea,2025-02,64,10,30,41,565295,79926,93182,42,2,86,158,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Professional Services,Youth (Under 30),Scaling,2025-02,26,3,11,16,1123408,288871,426549,22,3,37,64,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Food & Beverage,Other,Startup,2025-02,25,3,10,14,270675,47377,45711,17,1,43,132,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Veteran-Owned,Early Growth,2025-02,12,1,1,1,90787,21739,32912,10,1,19,74,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Creative / Media,Veteran-Owned,Established,2025-02,23,3,10,9,302940,33077,92864,21,3,38,141,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Logistics,Women-Owned,Startup,2025-02,17,2,11,9,123843,28597,26328,10,1,22,84,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Professional Services,Rural,Startup,2025-02,28,5,20,17,437471,89195,114296,12,2,39,66,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Technology,Rural,Idea,2025-02,35,3,12,16,489315,124624,165530,20,1,61,225,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Healthcare,Rural,Startup,2025-02,21,2,11,10,150781,21629,56414,16,3,31,94,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Healthcare,Other,Scaling,2025-02,17,3,9,11,188380,54301,29520,9,2,26,85,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Food & Beverage,Minority-Owned,Scaling,2025-02,12,1,7,10,87514,17997,34517,8,1,20,54,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Professional Services,Other,Startup,2025-02,13,2,12,14,82206,11767,31291,12,1,21,62,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Construction,Immigrant-Founded,Scaling,2025-02,18,3,10,9,353835,46379,81979,9,1,29,110,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Manufacturing,Minority-Owned,Established,2025-02,24,2,4,4,635216,78696,207699,21,1,44,147,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Technology,Women-Owned,Early Growth,2025-02,15,1,5,7,42348,11070,9231,7,3,21,72,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Manufacturing,Minority-Owned,Scaling,2025-02,11,1,5,4,93929,11559,31484,5,4,17,63,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Technology,Women-Owned,Idea,2025-03,52,6,33,49,441297,72531,112117,38,3,82,274,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Professional Services,Minority-Owned,Idea,2025-03,41,4,13,15,437130,111339,99523,18,2,58,214,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Manufacturing,Youth (Under 30),Idea,2025-03,17,3,13,14,295791,61912,103229,14,3,24,82,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Healthcare,Women-Owned,Established,2025-03,69,12,28,29,775210,109334,306811,51,2,98,327,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Construction,Immigrant-Founded,Idea,2025-03,60,6,19,28,598991,129474,165535,41,5,97,256,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Construction,Women-Owned,Scaling,2025-03,40,5,26,40,1219530,178932,470602,29,3,70,162,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Healthcare,Other,Scaling,2025-03,33,4,14,15,432794,51106,152299,26,2,50,132,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Food & Beverage,Other,Scaling,2025-03,24,2,10,10,238508,25333,59888,17,3,38,81,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Logistics,Youth (Under 30),Scaling,2025-03,24,2,11,16,139558,31548,43426,19,1,33,117,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Food & Beverage,Other,Idea,2025-03,19,2,8,12,153759,20541,45123,13,1,25,40,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Construction,Immigrant-Founded,Established,2025-03,15,1,5,7,63608,11602,18298,8,4,26,54,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Technology,Women-Owned,Established,2025-03,40,6,26,37,1319596,275668,357834,27,3,52,179,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Creative / Media,Minority-Owned,Early Growth,2025-03,15,3,18,15,359905,106098,62995,14,2,25,85,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Retail,Minority-Owned,Idea,2025-03,20,4,8,12,261761,64817,62743,17,1,29,60,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Technology,Other,Early Growth,2025-03,36,4,20,30,188882,27675,38664,23,1,53,144,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Creative / Media,Immigrant-Founded,Early Growth,2025-03,25,4,20,29,453511,115587,163998,17,1,43,127,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Professional Services,Other,Early Growth,2025-03,16,2,5,7,157952,25818,51618,12,2,24,74,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Creative / Media,Rural,Scaling,2025-03,34,4,12,16,1483466,264532,591266,16,3,50,193,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Technology,Women-Owned,Early Growth,2025-03,44,7,30,27,374016,103626,64398,38,1,73,288,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Professional Services,Veteran-Owned,Early Growth,2025-03,15,2,16,13,146243,40414,34777,10,3,25,47,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Construction,Women-Owned,Established,2025-04,67,8,25,35,387024,65159,143966,28,1,91,195,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Healthcare,Other,Scaling,2025-04,76,16,68,92,1195776,132385,278345,51,2,121,365,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Retail,Veteran-Owned,Scaling,2025-04,16,2,4,3,137732,25552,30802,12,3,27,50,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Logistics,Women-Owned,Idea,2025-04,65,10,31,44,913493,162149,221755,36,3,82,177,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Construction,Minority-Owned,Established,2025-04,68,13,49,45,1360507,248697,461367,56,1,111,351,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Retail,Youth (Under 30),Established,2025-04,38,7,23,34,2176035,436121,816260,25,1,57,214,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Healthcare,Women-Owned,Established,2025-04,51,10,34,38,901780,240614,193406,38,2,65,259,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Women-Owned,Scaling,2025-04,11,1,9,12,73155,9483,21725,9,2,19,48,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Manufacturing,Other,Scaling,2025-04,28,5,19,19,268879,48558,81890,18,2,37,99,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Construction,Women-Owned,Early Growth,2025-04,14,1,6,6,108658,25748,42716,11,1,22,79,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Retail,Women-Owned,Established,2025-04,21,3,8,9,243960,42639,40021,16,3,29,78,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Healthcare,Women-Owned,Scaling,2025-04,18,3,14,21,422829,72758,84471,9,1,27,42,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Professional Services,Other,Scaling,2025-04,7,0,8,9,0,0,0,6,2,11,31,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Minority-Owned,Established,2025-04,32,4,16,15,436681,128134,139978,15,2,43,119,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Logistics,Other,Startup,2025-04,23,4,14,22,271586,40846,72425,19,2,39,95,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Creative / Media,Other,Established,2025-04,28,6,28,34,471234,78817,103257,17,1,36,115,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Professional Services,Other,Early Growth,2025-04,12,1,1,0,72327,11855,13379,5,3,17,59,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Technology,Rural,Early Growth,2025-04,31,3,18,22,794599,204195,299271,17,3,48,98,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Professional Services,Immigrant-Founded,Startup,2025-04,34,3,5,5,283130,47318,48790,31,3,58,113,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Professional Services,Minority-Owned,Early Growth,2025-04,6,1,10,8,89652,17432,17808,3,4,10,29,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Manufacturing,Other,Established,2025-05,46,5,25,26,257289,70105,50194,35,3,60,237,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Manufacturing,Immigrant-Founded,Startup,2025-05,45,5,24,30,251762,47014,64791,23,3,68,234,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Construction,Other,Established,2025-05,30,6,29,40,592129,86008,218641,19,1,42,63,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Food & Beverage,Women-Owned,Established,2025-05,31,3,17,19,284827,36104,113655,25,2,56,144,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Logistics,Minority-Owned,Startup,2025-05,87,8,30,47,398823,96603,138803,42,1,116,320,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Construction,Other,Early Growth,2025-05,38,4,8,11,638561,96133,207830,17,1,55,143,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Retail,Rural,Idea,2025-05,29,3,18,16,148256,18206,26176,22,1,41,135,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Retail,Youth (Under 30),Early Growth,2025-05,23,3,4,4,176281,18077,30364,20,3,36,97,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Manufacturing,Other,Established,2025-05,25,4,14,14,308568,37016,59762,13,3,37,82,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Technology,Other,Early Growth,2025-05,19,2,9,7,137204,25731,41909,14,2,26,50,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Manufacturing,Minority-Owned,Early Growth,2025-05,26,3,15,22,147133,35199,24227,17,4,33,115,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Healthcare,Women-Owned,Scaling,2025-05,19,3,16,20,1068873,210157,290766,16,3,30,99,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Construction,Veteran-Owned,Idea,2025-05,16,2,14,17,134128,27445,43611,10,3,23,73,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Veteran-Owned,Startup,2025-05,11,1,8,12,80445,15594,22038,7,1,16,61,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Healthcare,Women-Owned,Established,2025-05,22,3,16,17,257528,30286,70720,19,1,36,93,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Professional Services,Women-Owned,Established,2025-05,24,2,10,14,222417,47256,69760,20,3,38,117,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Logistics,Other,Early Growth,2025-05,27,3,10,12,143384,33233,21586,18,2,36,94,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Professional Services,Other,Early Growth,2025-05,21,4,16,23,712623,88471,258716,19,2,37,79,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Retail,Veteran-Owned,Startup,2025-05,28,5,23,29,582476,73932,160010,23,2,44,138,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Creative / Media,Other,Scaling,2025-05,24,3,14,13,212977,46878,78945,17,4,36,65,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Creative / Media,Other,Established,2025-06,108,14,64,100,1344015,335580,302038,63,1,146,369,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Creative / Media,Other,Scaling,2025-06,45,6,19,25,481868,115100,111116,38,2,64,249,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Manufacturing,Other,Scaling,2025-06,14,2,12,17,163636,17190,30490,7,3,20,70,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Technology,Women-Owned,Startup,2025-06,66,7,31,29,625020,146945,181550,52,2,113,297,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Retail,Other,Scaling,2025-06,49,8,36,30,758495,222365,123976,27,3,66,229,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Food & Beverage,Minority-Owned,Established,2025-06,51,9,33,40,1829785,247908,586747,34,3,71,277,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Healthcare,Other,Scaling,2025-06,32,4,14,20,172780,49367,51699,15,2,53,203,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Food & Beverage,Immigrant-Founded,Scaling,2025-06,17,2,12,14,144546,24555,53604,12,1,24,68,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Professional Services,Minority-Owned,Early Growth,2025-06,27,5,29,45,561798,125135,171507,12,3,40,104,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Technology,Rural,Early Growth,2025-06,8,1,11,9,80698,15926,18085,6,3,15,41,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Retail,Minority-Owned,Idea,2025-06,27,4,11,9,295747,35721,84121,17,4,35,128,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Construction,Rural,Idea,2025-06,33,4,11,9,745109,113055,184047,26,2,50,146,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Construction,Veteran-Owned,Idea,2025-06,12,2,9,12,160453,25346,51580,6,3,22,52,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Minority-Owned,Established,2025-06,10,1,10,13,90723,14480,33725,9,3,18,40,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Professional Services,Other,Idea,2025-06,15,1,6,7,112283,18950,28425,15,1,27,91,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Creative / Media,Women-Owned,Startup,2025-06,26,3,21,31,230703,48432,51369,24,3,44,175,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Manufacturing,Minority-Owned,Startup,2025-06,18,2,7,6,152103,33959,34438,14,3,29,66,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Healthcare,Youth (Under 30),Early Growth,2025-06,39,5,16,21,1509862,251109,407645,32,1,66,158,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Logistics,Minority-Owned,Early Growth,2025-06,28,3,12,17,270388,66376,100861,22,1,40,133,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Creative / Media,Rural,Scaling,2025-06,7,0,1,1,0,0,0,6,4,13,24,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Food & Beverage,Women-Owned,Scaling,2025-07,43,7,32,46,529883,71973,205159,31,1,65,181,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Healthcare,Other,Established,2025-07,60,7,22,21,497332,141033,184205,41,2,82,285,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Technology,Other,Early Growth,2025-07,38,5,28,35,435071,121665,73726,25,2,54,132,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Food & Beverage,Minority-Owned,Startup,2025-07,45,7,26,33,323169,73907,65564,26,1,59,112,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Healthcare,Women-Owned,Scaling,2025-07,55,10,40,47,1066691,111457,171509,40,2,92,175,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Healthcare,Women-Owned,Scaling,2025-07,43,5,17,26,1561020,362701,344772,36,2,77,119,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Manufacturing,Minority-Owned,Scaling,2025-07,48,9,35,50,550454,134771,129724,44,1,82,258,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Logistics,Youth (Under 30),Idea,2025-07,16,1,11,13,78069,17405,12472,12,1,29,50,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Creative / Media,Immigrant-Founded,Idea,2025-07,39,6,18,27,659915,158068,169755,25,2,51,130,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Logistics,Other,Established,2025-07,13,2,15,17,93410,20518,26708,6,3,18,67,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Food & Beverage,Women-Owned,Idea,2025-07,14,2,10,10,120581,32676,30855,11,2,27,84,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Professional Services,Youth (Under 30),Established,2025-07,39,6,18,22,1851639,457644,673533,19,1,53,125,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Manufacturing,Other,Established,2025-07,17,2,4,5,142256,32317,49944,14,3,30,48,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Healthcare,Immigrant-Founded,Scaling,2025-07,16,1,6,6,96928,21275,37455,16,2,28,78,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Healthcare,Rural,Established,2025-07,54,8,24,34,751375,129197,235747,31,3,70,212,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Healthcare,Women-Owned,Early Growth,2025-07,27,4,14,19,425524,120424,100859,13,1,43,95,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Food & Beverage,Minority-Owned,Startup,2025-07,12,1,8,9,81062,12284,23060,9,2,22,39,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Food & Beverage,Rural,Established,2025-07,21,4,14,16,581175,131771,231627,13,1,29,51,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Retail,Other,Established,2025-07,36,7,21,18,801581,156557,191084,33,3,66,111,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Food & Beverage,Women-Owned,Startup,2025-07,14,2,9,8,97070,27571,30960,7,3,20,37,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Logistics,Youth (Under 30),Scaling,2025-08,95,13,57,85,1314832,265894,328010,69,1,148,289,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Healthcare,Women-Owned,Established,2025-08,33,4,19,17,380547,38954,77132,29,3,50,132,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Manufacturing,Minority-Owned,Scaling,2025-08,24,3,15,16,300526,51995,75176,13,2,39,99,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Logistics,Women-Owned,Startup,2025-08,91,16,67,83,1585333,308501,241661,67,1,122,427,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Construction,Immigrant-Founded,Scaling,2025-08,49,6,28,23,362059,96957,63025,24,2,73,148,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Professional Services,Minority-Owned,Early Growth,2025-08,12,1,3,4,294177,39686,101513,12,1,21,61,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Professional Services,Minority-Owned,Scaling,2025-08,21,3,12,15,200973,45471,58866,9,1,28,98,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Women-Owned,Early Growth,2025-08,18,2,13,13,173907,50973,44084,13,3,30,72,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Healthcare,Other,Startup,2025-08,28,5,10,9,419373,44148,104530,11,1,36,133,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Manufacturing,Women-Owned,Scaling,2025-08,25,3,15,15,126857,29520,46314,16,1,33,118,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Professional Services,Other,Established,2025-08,27,4,21,28,363472,77345,102086,15,3,45,138,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Creative / Media,Minority-Owned,Early Growth,2025-08,24,3,13,12,488678,76894,138674,13,2,43,146,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Logistics,Other,Established,2025-08,16,2,16,19,119983,29154,37374,7,3,22,57,91,Google Form,2026-05-22
